primary_energy_consumption,energy_class,reference_number_of_the_epc_report,co2_emission,yearly_theoretical_total_energy_consumption,price,address,listing_type,tenement_building,space,floor,kitchen_type,bedrooms,toilets,heating_type,double_glazing,number_of_floors,number_of_frontages,living_area,living_room_surface,bedroom_1_surface,furnished,terrace_surface,intercom,address2,website,external_reference,agency,building_condition,elevator,accessible_for_disabled_people,swimming_pool,available_as_of,description,type_of_building,outdoor_parking_spaces,bedroom_2_surface,bedroom_3_surface,bedroom_4_surface,bedroom_5_surface,construction_year,living_room,dining_room,laundry_room,basement,air_conditioning,jacuzzi,sauna,internet,surroundings_type,gas_water_and_electricity,id
"124 kWh/m²
kilowatt hour per square meters",C,C 20190408-0000547235-01-3,24 kg CO₂/m²,Not specified,"€2,750 (+ €250)
2750€ + 250€ per month",Ask for the exact address,Ground floor for rent,No,"2 bedrooms | 140 m²
square meters",999.0,Hyper equipped,"23 m²
square meters",2.0,Gas,Yes,6.0,2.0,"140 m²
square meters","40 m²
square meters","23 m²
square meters",Yes,"20 m²
square meters",Unknown,"Chausse de St. Job, 546
1180 - Bruxelles",http://www.go-investuccle.be,1021158HS,GO INVEST Uccle,Unknown,Yes,Unknown,Unknown,Unknown,"Exhibits habitable: Slaapkamer: 23 m², Keuken, Verband, Toeloop tegen nachtelijk, Toeloop, : m² . equipment diverse:,,, . about Galley:,,,,,,,,,, . Services:,, : m,, : m,,,,, : m . Scene: . : : 24 Kg Co2m²an, Numéro de certificat PEB, : 124 kwh/an",All kind,-1.0,Unknown,Unknown,Unknown,Unknown,-1.0,Possible No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2351
"122 kWh/m²
kilowatt hour per square meters",C,20210710,22 kg CO₂/m²,Not specified,"€1,350 (+ €165)
1350€ + 165€ per month",1160 — Auderghem,Apartment for rent,No,"2 bedrooms | 113 m²
square meters",4.0,Hyper equipped,"14 m²
square meters",2.0,Gas,Yes,6.0,2.0,"113 m²
square meters","29 m²
square meters","14 m²
square meters",No,"4 m²
square meters",Yes,"Parvis Sainte-Alix 37
1150 - Woluwe-Saint-Pierre",http://www.maxime-realestate.be,5142204,Maxime Real Estate,As new,Yes,No,No,Depending on the tenant,"Maxime Real Estate presents this completely renovated 2 bedroom apartment. Located between Val Duchesse/Hermann Debroux and close to public transport (tram 8), schools, supermarkets,... This energy-efficient apartment +/-113m² with quality finishing is located on the 4th floor and is composed as follows: Entrance hall with built-in cloakroom, guest toilet and laundry area. Bright living-dining room 29m² (tiles imitation parquet) giving access to the terrace. Fully equipped open kitchen (cooker, oven, dishwasher, microwave, fridge) with plenty of storage space. Night hall, 2 bedrooms 14-11.6m², bathroom with bathtub, sink and 2nd toilet. A cellar is also at the disposal for the tenant. Extra information: Double glazing, videophone, security door, central heating, provision charges €165/month (heating, water and common parts), available for the 1/03/2023. Would you like more information about this apartment? Contact us: 02.771.16.35 or info@maxime-realestate.be",All kind,-1.0,"12 m²
square meters",Unknown,Unknown,Unknown,1974.0,Possible No,No,No,Yes,Unknown,Unknown,Unknown,Unknown,Urban,Unknown,2352
"109 kWh/m²
kilowatt hour per square meters",C,Not specified,23 kg CO₂/m²,Not specified,"€1,380 (+ €175)
1380€ + 175€ per month",1060 — Saint-Gilles,Loft for rent,No,"1 bedroom | 100 m²
square meters",6.0,Hyper equipped,Unknown,2.0,Gas,Yes,7.0,Unknown,"100 m²
square meters","< than 100 m²
square meters",Unknown,Yes,"8 m²
square meters",No,Unknown,Unknown,Unknown,Unknown,Just renovated,Yes,No,No,Immediately,"Cool furnished flat in an old parking garage near downtown Brussels. The area is lively but inside it's quiet and you’ll be in spitting distance from Midi station with metros and trains to everywhere, and really close to the centre, with lots of restaurants, the gay area, and the Sunday food and vintage markets. Step through the secured double gates and this 100 m2 flat is on the sixth floor, with the bedroom onto the courtyard and the terrace overlooking the skyline of Brussels. It has a large open space with a work area and a Bulthaup kitchen, a separate bedroom, spacious bathroom, separate second wc, separate laundry cupboard and lots of storage. The building was completed 10 years ago, well insulated, with a PEB C+ rating. The inside was recently done up by an interior designer, it’s where industrial concrete of the old garage meets wooden walls and a relaxed mix of furniture. So, if you want a quiet place in a lively area, here’s your chance. Rent 1500 plus charges (+-175, including concierge, hot water and heating, but not including electricity and internet. Charges included may go up in April depending on heating bills). The building has parking spaces for rent. Secured bike storage is available for free. Contract minimum 1 year. Info and visits: Rutger Hopster, ring or whatsapp +32 486 393 933.",All kind,-1.0,Unknown,Unknown,Unknown,Unknown,2011.0,Possible No,No,No,No,No,No,No,No,Unknown,Unknown,2353
"271 kWh/m²
kilowatt hour per square meters",E,Not specified,70 kg CO₂/m²,Not specified,"€1,550 (+ €250)
1550€ + 250€ per month",1200 — Woluwe-Saint-Lambert,Penthouse for rent,No,"3 bedrooms | 104 m²
square meters",8.0,USA hyper equipped,Unknown,2.0,Fuel oil,Unknown,8.0,Unknown,"104 m²
square meters","< than 104 m²
square meters",Unknown,Yes,Unknown,Unknown,"Avenue de L'Armée 41
1040 - Etterbeek",http://www.tomson-properties.be,5202939,Tomson Properties,As new,Yes,No,No,Depending on the tenant,"MONTGOMERY - Superb FURNISHED & EQUIPPED PENTHOUSE apartment located on the 8th/8 floors and comprising: entrance hall, living room & dining room, large fully equipped open kitchen, night hall, 3 bedrooms, 1 bathroom with hydromassage bath and 1 shower room with hammam shower, 2 toilets, laundry room, LARGE TERRACE with superb view, cellar. Possibility of parking space + 80 euros/month. Charges: 250 euros / month (common provision, heating and water). PEB E 271 kWh/m² 70 kg CO2/m²",All kind,1.0,Unknown,Unknown,Unknown,Unknown,-1.0,Possible No,No,No,No,Unknown,Unknown,Unknown,Unknown,Urban,Unknown,2354
"46 kWh/m²
kilowatt hour per square meters",A,Not specified,10 kg CO₂/m²,Not specified,"€2,200 (+ €120)
2200€ + 120€ per month",Ask for the exact address,Apartment for rent,No,"3 bedrooms | 124 m²
square meters",2.0,Hyper equipped,"14 m²
square meters",2.0,Unknown,Yes,5.0,2.0,"124 m²
square meters","34 m²
square meters","14 m²
square meters",No,"20 m²
square meters",Unknown,"Val des Seigneurs, 9a
1150 - Woluwe-St-Pierre",http://www.sorimo.be,5200917,Sorimo - Bruxelles,As new,Yes,No,No,Depending on the tenant,"Located in a recent luxury building halfway between the Woluwe Park and the Roodebeek metro station, superb flat of +/- 124 m² composed as follows: entrance hall, separate toilet, living room of +/- 33,5 m², access to terrace of +/- 19,5 m², super equipped open kitchen, laundry room, night hall, parental suite (bedroom with private bathroom); 2 bedrooms, shower room. Cellar and parking space. Monthly provision of charges of 120€ (common). PEB B. Available on 01/03/2023.",All kind,1.0,"10 m²
square meters","10 m²
square meters",Unknown,Unknown,2020.0,Possible No,No,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2355
"153 kWh/m²
kilowatt hour per square meters",D,Not specified,Not specified,Not specified,"€2,400 (+ €400)
2400€ + 400€ per month",1180 — Uccle,Ground floor for rent,No,"3 bedrooms | 210 m²
square meters",999.0,Hyper equipped,"18 m²
square meters",2.0,Fuel oil,Yes,3.0,2.0,"210 m²
square meters","50 m²
square meters","18 m²
square meters",Unknown,"10 m²
square meters",No,Unknown,Unknown,Unknown,Unknown,As new,Yes,No,No,Unknown,"Very nice location between avenue Brugmann and avenue Coghen, brightful ground floor apartment with garden of more than 100 m² and terrace without vis-à-vis. Entrance hall, cloakroom, large living area of 50 m², dining room of 20 m², terrace access, new fully equipped kitchen with breakfast area, night hall, master bedroom with large closets, 2 other bedrooms, bathroom, shower room, laundry room, 2 toilets, large storage room or additional dressing room. Cellar. Dedicated parking space in front of the building. Excellent connection to public transport (bus, tram 92 and 51 to the Gare du Midi 10 min), at walking distance to all shops (supermarket 200 m and 600 m). Near European school, French high school (20’)",All kind,1.0,"12 m²
square meters","12 m²
square meters",Unknown,Unknown,-1.0,Possible No,Yes,Yes,Yes,No,No,No,No,"Living area (residential, urban or rural)",Unknown,2356
"170 kWh/m²
kilowatt hour per square meters",D,20130424-0000161260-01-0,36 kg CO₂/m²,Not specified,"€850 (+ €160)
850€ + 160€ per month",1050 — IXELLES,Apartment for rent,No,"1 bedroom | 55 m²
square meters",2.0,Installed,"9 m²
square meters",1.0,Unknown,Yes,4.0,Unknown,"55 m²
square meters","23 m²
square meters","9 m²
square meters",No,Unknown,Yes,"Rue de Tervaete 35
1040 - Etterbeek",Unknown,4219,Hermanns Real Estate,Unknown,Yes,Yes,No,Immediately,"-- RENTED RENTED RENTED /// SUSPENDED VISITS -- TRÔNE // 1 BEDROOM APARTMENT (Ref 4219) In the heart of the European district, close to all facilities, this recently refreshed one bedroom apartment is composed as follows: Entrance hall with cloakroom and storage, separate toilet, bright living room, small kitchen equipped with oven, electric hob, fridge and microwave. Bedroom and adjoining bathroom. PEB: D+. Charges: €160/month (maintenance of the commons; cleaning of the commons; elevator; trustee; electricity of the commons; provision for heating, provision for cold and hot water, waiver of recourse insurance and water softener, common laundry room). Immediately available. For more information contact 02/735.95.18 or cb@ahre.be. Plan your visit via: https://www.plato.immo/c/08SU VIRTUAL TOUR AVAILABLE",All kind,-1.0,Unknown,Unknown,Unknown,Unknown,-1.0,Possible No,No,No,No,No,No,No,No,Urban,Unknown,2357
Not specified,Not specified,Not specified,Not specified,Not specified,"€1,100 (+ €150)
1100€ + 150€ per month",1000 — Brussel,Apartment for rent,No,"2 bedrooms | 100 m²
square meters",5.0,Semi equipped,Unknown,1.0,Unknown,Yes,999.0,2.0,"100 m²
square meters","< than 100 m²
square meters",Unknown,Unknown,"10 m²
square meters",Yes,Unknown,Unknown,Unknown,Unknown,As new,Yes,Yes,No,Immediately,"Beautiful bright apartment (100m²) in a prime location in the heart of Brussels, in a quiet street (Kanonstraat) but close to shops and public transport. Located on the fifth floor in a building from 2008. Apartment layout: entrance hall with cloakroom and videophone, large living room with balcony (with a view of the inner garden), equipped kitchen with separate space for washing machine/dryer, night hall with separate toilet, bathroom with large bath/shower and double washbasin, 2 bedrooms. Includes the use of a spacious cellar in the basement. Rental price: 1,100€/month + advance payment for general costs: 150€/month (water, heating, maintenance & cleaning of the communal parts of the building). Not included in the general costs: electricity & internet. Immediately available.",Apartment building,-1.0,Unknown,Unknown,Unknown,Unknown,2008.0,Yes,No,No,Yes,No,No,No,Yes,Urban,Unknown,2358
Not specified,Not specified,Not specified,Not specified,Not specified,"€1,320/month
1320€ per month",1180 — Uccle,Apartment for rent,No,2 bedrooms,1.0,Unknown,Unknown,0.0,Unknown,No,999.0,Unknown,Unknown,Unknown,Unknown,Unknown,"9 m²
square meters",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Immediately,No description,All kind,-1.0,Unknown,Unknown,Unknown,Unknown,-1.0,Possible No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2359
"53 kWh/m²
kilowatt hour per square meters",B,B,17 kg CO₂/m²,Not specified,"€2,800 (+ €375)
2800€ + 375€ per month",Ask for the exact address,Apartment for rent,No,"2 bedrooms | 162 m²
square meters",2.0,Installed,"14 m²
square meters",3.0,Gas,Yes,8.0,3.0,"162 m²
square meters","83 m²
square meters","14 m²
square meters",No,"16 m²
square meters",Unknown,"Chausse de St. Job, 546
1180 - Bruxelles",http://www.go-investuccle.be,1021155HSC,GO INVEST Uccle,Unknown,Yes,Unknown,Unknown,Unknown,"Exhibits habitable: Slaapkamer: 14 m², Keuken, Verband, Toeloop tegen nachtelijk, Toeloop, : 83 m², . equipment diverse:,,,, . about Galley:,,,,,,, . Casing about floor: . Services:,, : m,, : m,,,,,,,, : m . : : 17 Kg Co2m²an, Numéro de certificat PEB, : 53 kwh/an",All kind,-1.0,Unknown,Unknown,Unknown,Unknown,2017.0,Possible No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2360
"53 kWh/m²
kilowatt hour per square meters",B,B,17 kg CO₂/m²,Not specified,"€2,800 (+ €375)
2800€ + 375€ per month",Ask for the exact address,Apartment for rent,No,"2 bedrooms | 162 m²
square meters",2.0,Installed,"14 m²
square meters",3.0,Gas,Yes,8.0,3.0,"162 m²
square meters","83 m²
square meters","14 m²
square meters",No,"16 m²
square meters",Unknown,"Chausse de St. Job, 546
1180 - Bruxelles",http://www.go-investuccle.be,1021155HS,GO INVEST Uccle,Unknown,Yes,Unknown,Unknown,Unknown,": : 53 kwh/an, Numéro de certificat PEB, : 17 Kg Co2m²an . Services: : m,,,,,,,, : m,, : m,, . Casing about floor: . about Galley:,,,,,,, . equipment diverse:,,,, . Exhibits habitable:, : 83 m², Toeloop, Toeloop tegen nachtelijk, Verband, Keuken, Slaapkamer: 14 m²",All kind,-1.0,Unknown,Unknown,Unknown,Unknown,2017.0,Possible No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2361
"141 kWh/m²
kilowatt hour per square meters",C,20220111-0000603143-01-4,27 kg CO₂/m²,Not specified,"€1,670 (+ €350)
1670€ + 350€ per month",1000 — Bruxelles,Apartment for rent,No,"1 bedroom | 80 m²
square meters",2.0,USA hyper equipped,"19 m²
square meters",1.0,Gas,Yes,5.0,2.0,"80 m²
square meters","32 m²
square meters","19 m²
square meters",Yes,"6 m²
square meters",Unknown,"Avenue Arnaud Fraiteur 15-23
1050 - Bruxelles",http://www.irisproperty.be,5202686,Iris Property,As new,Yes,No,No,Immediately,"Located on the prestigious Boulevard Anspach, 50 meters from the Bourse, a few minutes walk from the Grand Place, Saint-Géry and Place Sainte-Catherine, the metro, in a splendid neoclassical building that is part of the monumental heritage of Brussels , beautiful apartment of ± 80 m² fully equipped and furnished (first occupation) with ceiling height of ± 3.60 m, with original moldings and ornaments, consists of an entrance hall with toilet, living room, equipped kitchen, large bedroom of ± 19 m², bathroom, two wrought iron balconies. Cellar and local bikes. Provisions for charges of 350€ including : common costs, heating, hot and cold water. Energy class C ! Available immediately. Info & visit at +32 475 52 24 25 or info@irisproperty.be",All kind,-1.0,Unknown,Unknown,Unknown,Unknown,-1.0,Possible No,No,No,Yes,Unknown,Unknown,Unknown,Unknown,Urban,Unknown,2362
Not specified,Not specified,Not specified,Not specified,Not specified,"€1,500 (+ €50)
1500€ + 50€ per month",Ask for the exact address,Apartment for rent,No,"2 bedrooms | 100 m²
square meters",3.0,Installed,Unknown,1.0,Gas,No,3.0,2.0,"100 m²
square meters","< than 100 m²
square meters",Unknown,No,"6 m²
square meters",Unknown,"Rue de la Brasserie, 51A
1050 - Ixelles",Unknown,406,Isabelle de Thier Immobilière,Unknown,Unknown,Unknown,Unknown,Unknown,No description,All kind,-1.0,Unknown,Unknown,Unknown,Unknown,-1.0,Yes,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2363
"153 kWh/m²
kilowatt hour per square meters",D,Not specified,Not specified,Not specified,"€1,800 (+ €120)
1800€ + 120€ per month",1000 — Brussels,Apartment for rent,No,"2 bedrooms | 145 m²
square meters",2.0,Hyper equipped,"15 m²
square meters",2.0,Gas,No,999.0,1.0,"145 m²
square meters","50 m²
square meters","15 m²
square meters",Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Good,Yes,No,No,Immediately,"Flat of 145m² in excellent condition and comprising: entrance hall, bright living room of ± 80m², fully equipped kitchen (fridge, freezer, dishwasher, oven, microwave), 2 spacious bedrooms, one of which with private bathroom, 1 shower room, 2 separate toilets. Splendid view on la Bourse. Cellar. Lift, Charges: 120 eur/month (common). Individual meters for water, gas and electricity. PEB D+ (141). Rent: 1,800 euros. Immediately available- more information ? 0471 24 64 41 - info@prowinko.be",All kind,-1.0,"20 m²
square meters",Unknown,Unknown,Unknown,-1.0,Possible No,Yes,No,Yes,No,No,No,No,Unknown,Unknown,2364
